ID,Track,Type,Description,Owner,Date Logged,Due for Closure on,Status,Impact,Mitigation
A1,Program,Action Item,Finalize and onboard Solution Architect,Global Delivery President,15-May-26,20-May-26,Open,,
A2,Program,Action Item,Finalize and onboard Technical Architect,Global Delivery President,15-May-26,20-May-26,Open,,
A3,Program,Action Item,Finalize and onboard Data Migration Lead,Global Delivery President,15-May-26,20-May-26,Open,,
A4,Program,Action Item,Share named resource profiles and availability confirmation,Implementation Program Manager,15-May-26,18-May-26,Open,,
A5,Program,Action Item,Launch automotive domain enablement sessions for all delivery members,Implementation Program Manager,15-May-26,20-May-26,Open,,
A6,Program,Action Item,Deploy automotive domain consultant into discovery workshops,Global Delivery President,15-May-26,20-May-26,Open,,
A7,Program,Action Item,Publish revised discovery and POC recovery plan,Implementation Program Manager,15-May-26,19-May-26,Open,,
A8,Program,Action Item,Establish daily internal war-room governance,Implementation Program Manager,15-May-26,16-May-26,In Progress,,
A9,Program,Action Item,Start twice-weekly customer checkpoint reviews,Customer PM & Implementation PM,15-May-26,16-May-26,In Progress,,
A10,Program,Action Item,Share risk and dependency tracker with mitigation actions,Implementation Program Manager,15-May-26,18-May-26,Open,,
A11,Program,Action Item,Improve workshop preparation and review process,Implementation Program Manager,15-May-26,16-May-26,In Progress,,
A12,Program,Action Item,Executive review of stabilization progress every 48 hours,Global Delivery President,15-May-26,16-May-26,In Progress,,
D1,Program,Decision, Program classified as Tier?1 strategic delivery initiative by implementation leadership.,,15-May-26,15-May-26,Closed,,
D2,Program,Decision,Executive-level monitoring to continue until stabilization.,,15-May-26,15-May-26,Closed,,
D3,Program,Decision,Automotive domain enablement to become mandatory for all delivery members.,,15-May-26,15-May-26,Closed,,
D4,Program,Decision,Critical staffing closures to be completed within one week.,,15-May-26,15-May-26,Closed,,
D5,Program,Decision,Recovery plan to be reviewed in next weekly governance meeting.,,15-May-26,15-May-26,Closed,,
R1 ,Program,Risk,Delay in staffing critical roles,Implementation Program Manager,15-May-26,22-May-26,Open,Discovery and architecture delays,Executive escalation and prioritized onboarding
R2,Program,Risk,Lack of automotive domain knowledge,Implementation Program Manager,15-May-26,22-May-26,Open,Reduced workshop effectiveness,Structured domain training and domain SME support
R3,Program,Risk,Customer confidence erosion,Global Delivery President,15-May-26,22-May-26,Open,Governance escalation and delivery scrutiny,Increased transparency and executive oversight
R4,Program,Risk,Discovery delays impacting downstream phases,Implementation Program Manager,15-May-26,22-May-26,Open,Compression of sprint rollout timeline,Parallel execution and recovery planning
QM-1,Quality Management,Action Item,Engage certified automotive domain translator/interpreter for all process documents. Target: 100% translation of backlog within 5 business days.,Impl. PM,15-Aug-26,20-Aug-26,Open,,
QM-2,Quality Management,Action Item,Immediately backfill BA vacancy—deploy available internal BA from Part & BOM track (now stable) on 50% dual allocation to Quality workshops.,Impl. PM,15-Aug-26,18-Aug-26,Open,,
QM-3,Quality Management,Action Item,Run parallel workshops—two simultaneous sessions per week (English + translated document sets) to recover the 3-week lag in 10 working days.,Quality Lead,15-Aug-26,22-Aug-26,Open,,
QM-4,Quality Management,Action Item,Pre-validate translated documents with customer business owner before each workshop to reduce rework loops.,Customer PM,15-Aug-26,Ongoing,Open,,
QM-5,Quality Management,Action Item,Publish revised Quality track schedule with recovery milestones and share with steering committee.,Impl. PM,15-Aug-26,19-Aug-26,Open,,
SC-1,Supplier Collaboration,Action Item,Escalate supplier availability blockage to customer CXO / executive sponsor. Mandate named supplier SMEs with $\ge$ 40% time commitment via formal SLA.,Cust. Exec Sponsor,15-Aug-26,18-Aug-26,Open,,
SC-2,Supplier Collaboration,Action Item,If CXO escalation yields no resolution within 3 days  formally recommend structured deferral of this track to M10 with revised Phase 3 dependencies documented.,Impl. PM,15-Aug-26,21-Aug-26,Open,,
SC-3,Supplier Collaboration,Action Item,In parallel: complete all supplier collaboration solution design with customer proxy SMEs to avoid further design delays once suppliers engage.,Solution Arch,15-Aug-26,22-Aug-26,Open,,
SC-4,Supplier Collaboration,Action Item,Document full dependency map of Supplier Collaboration on Quality & Change tracks. Present impact to steering committee if deferral is chosen.,Impl. PM,15-Aug-26,19-Aug-26,Open,,
SC-5,Supplier Collaboration,Action Item,Prepare two plans for steering committee: (A) Accelerated delivery if SMEs secured  (B) Controlled deferral roadmap to M10 with risk summary.,Impl. PM,15-Aug-26,22-Aug-26,Open,,
INT-1,Integration - All,Action Item,Convene emergency integration war-room: Solution Architect + downstream system leads (SAP  NX  Cadence) + vendor connector owners. Daily 60-min stand-up starting 16-Aug.,Impl. PM,15-Aug-26,16-Aug-26,Open,,
INT-2,Integration - SAP,Action Item,Finalize data exchange model (BOM structure  ECN payload  material master fields). Customer ERP team and PLM architect to sign off jointly. Hard deadline: 19-Aug.,Sol. Arch,15-Aug-26,19-Aug-26,Open,,
